timestamp,open,high,low,close,volume,date
1734792300000,97336.7,97419.2,97336.7,97419.2,0.0100179,2024-12-21 14:45:00
1734792360000,97391.9,97427.6,97360.0,97427.6,1.17752528,2024-12-21 14:46:00
1734792420000,97435.3,97529.5,97435.3,97529.5,0.01257574,2024-12-21 14:47:00
1734792480000,97529.5,97529.5,97529.5,97529.5,9.74e-06,2024-12-21 14:48:00
1734792540000,97575.5,97617.5,97575.5,97617.5,0.00336886,2024-12-21 14:49:00
1734792600000,97617.5,97617.5,97529.5,97529.5,0.00097029,2024-12-21 14:50:00
1734792660000,97460.7,97460.7,97377.4,97377.4,0.00121745,2024-12-21 14:51:00
1734792720000,97377.4,97377.4,97377.4,97377.4,0.0,2024-12-21 14:52:00
1734792780000,97429.8,97429.8,97373.0,97373.0,2.05637192,2024-12-21 14:53:00
1734792840000,97389.9,97389.9,97251.8,97251.8,2.07915119,2024-12-21 14:54:00
1734792900000,97231.9,97231.9,97231.9,97231.9,0.00029735,2024-12-21 14:55:00
1734792960000,97226.4,97226.4,97162.2,97162.2,0.15137309,2024-12-21 14:56:00
1734793020000,97162.2,97162.2,97162.2,97162.2,0.0,2024-12-21 14:57:00
1734793080000,97133.2,97133.2,97121.7,97121.7,0.00137685,2024-12-21 14:58:00
1734793140000,97121.7,97121.7,97121.7,97121.7,0.0,2024-12-21 14:59:00
1734793200000,97133.6,97140.3,97084.2,97140.3,0.00120204,2024-12-21 15:00:00
1734793260000,97146.4,97146.4,97146.4,97146.4,0.000103,2024-12-21 15:01:00
1734793320000,97146.4,97146.4,97146.4,97146.4,0.11,2024-12-21 15:02:00
1734793380000,97146.5,97149.2,97146.5,97149.2,0.00604462,2024-12-21 15:03:00
1734793440000,97151.1,97163.9,97151.1,97163.9,0.00489697,2024-12-21 15:04:00
1734793500000,97166.0,97280.1,97166.0,97280.1,0.01088656,2024-12-21 15:05:00
1734793560000,97299.2,97361.6,97299.2,97361.6,0.00060285,2024-12-21 15:06:00
1734793620000,97361.7,97410.7,97361.7,97410.7,0.0145,2024-12-21 15:07:00
1734793680000,97423.6,97423.6,97380.0,97380.0,0.001141,2024-12-21 15:08:00
1734793740000,97380.0,97380.0,97320.4,97336.2,0.21584699,2024-12-21 15:09:00
1734793800000,97377.4,97403.6,97377.4,97403.6,0.01914249,2024-12-21 15:10:00
1734793860000,97403.6,97403.6,97403.6,97403.6,0.0,2024-12-21 15:11:00
1734793920000,97403.6,97403.6,97403.6,97403.6,0.0,2024-12-21 15:12:00
1734793980000,97279.0,97279.0,97279.0,97279.0,0.00083017,2024-12-21 15:13:00
