timestamp,open,high,low,close,volume,date
1734830400000,97275.4,97275.4,97275.4,97275.4,0.0,2024-12-22 01:20:00
1734830460000,97293.1,97400.6,97293.1,97400.6,0.00512241,2024-12-22 01:21:00
1734830520000,97400.6,97400.6,97400.6,97400.6,0.0,2024-12-22 01:22:00
1734830580000,97400.6,97400.6,97400.6,97400.6,0.0,2024-12-22 01:23:00
1734830640000,97389.5,97389.5,97379.7,97379.7,0.00013166,2024-12-22 01:24:00
1734830700000,97379.7,97379.7,97379.7,97379.7,0.0,2024-12-22 01:25:00
1734830760000,97379.7,97379.7,97379.7,97379.7,0.0,2024-12-22 01:26:00
1734830820000,97371.1,97371.1,97371.1,97371.1,0.00044079,2024-12-22 01:27:00
1734830880000,97371.1,97371.1,97371.1,97371.1,0.0,2024-12-22 01:28:00
1734830940000,97330.1,97330.1,97329.8,97329.8,0.00135224,2024-12-22 01:29:00
1734831000000,97325.1,97325.1,97239.2,97239.2,0.01054214,2024-12-22 01:30:00
1734831060000,97239.2,97239.2,97239.2,97239.2,0.0,2024-12-22 01:31:00
1734831120000,97264.3,97278.1,97264.3,97278.1,0.00066791,2024-12-22 01:32:00
1734831180000,97278.1,97278.1,97278.1,97278.1,0.0,2024-12-22 01:33:00
1734831240000,97232.9,97232.9,97116.3,97116.8,1.02867378,2024-12-22 01:34:00
1734831300000,97123.5,97123.5,97055.8,97074.4,0.00735139,2024-12-22 01:35:00
1734831360000,97063.6,97090.0,97041.2,97090.0,0.00531219,2024-12-22 01:36:00
1734831420000,97090.0,97090.0,97090.0,97090.0,0.0,2024-12-22 01:37:00
1734831480000,97090.0,97090.0,97090.0,97090.0,0.0,2024-12-22 01:38:00
1734831540000,97037.6,97037.6,96903.7,96914.8,0.1565922,2024-12-22 01:39:00
1734831600000,96914.8,96914.8,96914.8,96914.8,0.0,2024-12-22 01:40:00
1734831660000,96875.9,96875.9,96875.9,96875.9,7.5e-05,2024-12-22 01:41:00
1734831720000,96749.8,96749.8,96747.9,96747.9,0.00130241,2024-12-22 01:42:00
1734831780000,96747.9,96747.9,96747.9,96747.9,0.0,2024-12-22 01:43:00
1734831840000,96747.9,96747.9,96747.9,96747.9,0.0,2024-12-22 01:44:00
1734831900000,96788.9,96797.2,96784.2,96797.2,0.00723247,2024-12-22 01:45:00
1734831960000,96841.7,96841.7,96841.7,96841.7,0.00460819,2024-12-22 01:46:00
